ParameterID_T,Type
u_corr,velocity
v_corr,velocity
v_corr,velocity
w_corr,velocity
w_corr,velocity
wind_speed,velocity
wind_speed,velocity
fdchp_speed_of_sound_sonic,velocity
vel3d_a_eastward_velocity,velocity
vel3d_a_northward_velocity,velocity
vel3d_a_upward_velocity_ascending,velocity
vel3d_a_upward_velocity_descending,velocity
velpt_d_eastward_velocity,velocity
velpt_d_northward_velocity,velocity
velpt_d_upward_velocity,velocity
vel3d_k_eastward_velocity,velocity
vel3d_k_eastward_velocity,velocity
vel3d_k_northward_velocity,velocity
vel3d_k_northward_velocity,velocity
vel3d_k_upward_velocity,velocity
vel3d_k_upward_velocity,velocity
adcps_jln_upward_seawater_velocity2,velocity
adcps_jln_upward_seawater_velocity2,velocity
adcps_jln_eastward_seawater_velocity2,velocity
adcps_jln_eastward_seawater_velocity2,velocity
adcps_jln_northward_seawater_velocity2,velocity
adcps_jln_northward_seawater_velocity2,velocity
upward_earth_seawater_velocity,velocity
upward_earth_seawater_velocity,velocity
upward_earth_seawater_velocity,velocity
earth_error_velocity,velocity
earth_error_velocity,velocity
earth_error_velocity,velocity
adcps_pd12_eastward_seawater_velocity,velocity
adcps_pd12_eastward_seawater_velocity,velocity
adcps_pd12_northward_seawater_velocity,velocity
adcps_pd12_northward_seawater_velocity,velocity
vel3d_l_eastward_velocity,velocity
vel3d_l_eastward_velocity,velocity
vel3d_l_northward_velocity,velocity
vel3d_l_northward_velocity,velocity
vel3d_l_upward_velocity_ascending,velocity
vel3d_l_upward_velocity_ascending,velocity
vel3d_l_upward_velocity_descending,velocity
vel3d_l_upward_velocity_descending,velocity
eastward_turbulent_velocity,velocity
northward_turbulent_velocity,velocity
seawater_pressure_mbar,Seawater Pressure
seawater_pressure_mbar,Seawater Pressure
seawater_pressure_mbar,Seawater Pressure
absolute_pressure,seafloor Pressure
absolute_pressure,seafloor Pressure
absolute_pressure,seafloor Pressure
abs_seafloor_pressure,seafloor Pressure
abs_seafloor_pressure,seafloor Pressure
absolute_pressure_burst,seafloor Pressure
absolute_pressure_burst,seafloor Pressure
presf_tide_pressure,seafloor Pressure
presf_wave_burst_pressure,seafloor Pressure
dp_sea,direction
absorbance_ratio_434,Optical Absorbance
absorbance_ratio_434,Optical Absorbance
absorbance_ratio_434,Optical Absorbance
absorbance_ratio_434,Optical Absorbance
absorbance_ratio_434,Optical Absorbance
absorbance_ratio_434,Optical Absorbance
absorbance_ratio_434,Optical Absorbance
absorbance_ratio_620,Optical Absorbance
absorbance_ratio_620,Optical Absorbance
absorbance_ratio_620,Optical Absorbance
absorbance_ratio_620,Optical Absorbance
absorbance_ratio_620,Optical Absorbance
absorbance_ratio_620,Optical Absorbance
absorbance_ratio_620,Optical Absorbance
ctdbp_seawater_pressure,Seawater Pressure
zplsc_c_pressure,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_depth,Seawater Pressure
pressure_mbar,Seawater Pressure
pressure_mbar,Seawater Pressure
pressure_mbar,Seawater Pressure
pressure_mbar,Seawater Pressure
velpt_pressure,Seawater Pressure
velpt_pressure,Seawater Pressure
ctd_dbar,Seawater Pressure
ctd_dbar,Seawater Pressure
ctd_dbar,Seawater Pressure
ctd_dbar,Seawater Pressure
ctdbp_no_seawater_pressure,Seawater Pressure
conductivity_millisiemens,conductivity
seawater_pressure,Seawater Pressure
seawater_pressure,Seawater Pressure
sci_water_pressure,Seawater Pressure
sci_water_pressure,Seawater Pressure
sci_water_pressure_dbar,Seawater Pressure
sci_water_pressure_dbar,Seawater Pressure
vel3d_k_pressure,Seawater Pressure
ctdpf_ckl_seawater_pressure,Seawater Pressure
ctdpf_ckl_seawater_pressure,Seawater Pressure
ctdmo_seawater_pressure,Seawater Pressure
ctdmo_seawater_pressure,Seawater Pressure
ctdmo_seawater_pressure,Seawater Pressure
ctdmo_seawater_pressure,Seawater Pressure
hpies_travel_time2,Acoustic Travel Time
hpies_travel_time3,Acoustic Travel Time
hpies_travel_time4,Acoustic Travel Time
hpies_travel_time2_L1,Acoustic Travel Time
hpies_travel_time3_L1,Acoustic Travel Time
hpies_travel_time4_L1,Acoustic Travel Time
seafloor_pressure,Seafloor Pressure
temperature02,Seawater Temperature
temperature03,Seawater Temperature
temperature04,Seawater Temperature
temperature05,Seawater Temperature
temperature06,Seawater Temperature
temperature07,Seawater Temperature
temperature08,Seawater Temperature
temperature09,Seawater Temperature
temperature10,Seawater Temperature
temperature11,Seawater Temperature
temperature12,Seawater Temperature
temperature13,Seawater Temperature
temperature14,Seawater Temperature
temperature15,Seawater Temperature
temperature16,Seawater Temperature
temperature17,Seawater Temperature
temperature18,Seawater Temperature
temperature19,Seawater Temperature
temperature20,Seawater Temperature
temperature21,Seawater Temperature
temperature22,Seawater Temperature
temperature23,Seawater Temperature
temperature24,Seawater Temperature
bottom_pressure,Seafloor Pressure
botsflu_daydepth,Seafloor Pressure
botsflu_meandepth,Seafloor Pressure
temperature2,Vent Fluid Temperature
temperature3,Vent Fluid Temperature
vertical_velocity,velocity
adcpa_n_auv_error_velocity,velocity
average_current,velocity
