reference_designator,inst,status,comments
RS03AXPD-DP03A-00-ENG000000,ENG00,not for review,
CP05MOAS-GL374-00-ENG000000,ENG00,not for review,
CE05MOAS-GL326-00-ENG000000,ENG00,not for review,
GS05MOAS-GL561-00-ENG000000,ENG00,not for review,
GA05MOAS-GL493-00-ENG000000,ENG00,not for review,
GS05MOAS-GL484-00-ENG000000,ENG00,not for review,
GI05MOAS-PG564-00-ENG000000,ENG00,not for review,
GP05MOAS-GL525-00-ENG000000,ENG00,not for review,
GP05MOAS-GL276-00-ENG000000,ENG00,not for review,
GA05MOAS-GL495-00-ENG000000,ENG00,not for review,
CE05MOAS-GL247-00-ENG000000,ENG00,not for review,
CP05MOAS-A6264-00-ENG000000,ENG00,not for review,
GP05MOAS-GL361-00-ENG000000,ENG00,not for review,
RS01SBPD-DP01A-03-FLCDRA102,FLCDR,wrong refdes in system,RS01SBPD-DP01A-03-FLCDRA104  - redmine 12240
CE04OSPD-DP01B-03-FLCDRA103,FLCDR,wrong refdes in system,CE04OSPD-DP01B-04-FLCDRA103  - redmine 12240
RS01SBPD-DP01A-04-FLNTUA102,FLNTU,wrong refdes in system,RS01SBPD-DP01A-03-FLNTUA104 - redmine 12240
RS01SUM2-MJ01B-00-FLOBNM101,FLOBN,not for review,
RS01SUM2-MJ01B-00-FLOBNC101,FLOBN,not for review,
GP05MOAS-GL276-01-FLORDM000,FLORD,fixed,wrong stream change to flort_m_sample
GI05MOAS-GL486-01-FLORDM000,FLORD,glider leaked,
GP05MOAS-PG514-03-FLORTM000,FLORT,not in the system,raw data files with problem
GP05MOAS-PG515-03-FLORTM000,FLORT,pending ingest,raw data files problem
GI05MOAS-PG577-04-FLORTO000,FLORT,glider leaked,
GI05MOAS-PG564-03-FLORTM000,FLORT,glider leaked,
GA05MOAS-PG562-04-FLORTO000,FLORT,not expected,
CP05MOAS-A6263-01-FLORTN000,FLORT,fixed,wrong stream change to flort_kn_sample
GI05MOAS-PG564-04-FLORTO000,FLORT,glider leaked,
GI05MOAS-PG581-03-FLORTM000,FLORT,glider leaked,
CE07SHSP-SP001-07-FLORTJ000,FLORT,fixed,flort_sample
GP05MOAS-PG576-03-FLORTM000,FLORT,failed deployment,
GP05MOAS-PG576-04-FLORTO000,FLORT,failed deployment,
CE06ISSP-SP001-08-FLORTJ000,FLORT,fixed,flort_sample
CP05MOAS-A6264-01-FLORTN000,FLORT,fixed,wrong stream change to flort_kn_sample
GI05MOAS-PG581-04-FLORTO000,FLORT,glider leaked,
GA05MOAS-PG562-03-FLORTM000,FLORT,not expected,
GP05MOAS-PG514-04-FLORTO000,FLORT,not deployed,
GI05MOAS-PG577-03-FLORTM000,FLORT,glider leaked,
CE04OSBP-LJ01C-11-HYDBBA105,HYDBB,not for review,
RS01SBPS-PC01A-08-HYDBBA103,HYDBB,not for review,
RS03AXBS-LJ03A-09-HYDBBA302,HYDBB,not for review,
RS01SLBS-LJ01A-09-HYDBBA102,HYDBB,not for review,
CE02SHBP-LJ01D-11-HYDBBA106,HYDBB,not for review,
RS03AXPS-PC03A-08-HYDBBA303,HYDBB,not for review,
CE09OSSM-SBD11-02-HYDGN0000,HYDGN,not for review,
CP01CNSM-SBD12-03-HYDGN0000,HYDGN,not for review,
GA01SUMO-SBD12-03-HYDGN0000,HYDGN,not for review,
CE02SHSM-SBD12-03-HYDGN0000,HYDGN,not for review,
CP01CNSM-SBD11-02-HYDGN0000,HYDGN,not for review,
CE07SHSM-SBD12-03-HYDGN0000,HYDGN,not for review,
CE04OSSM-SBD11-02-HYDGN0000,HYDGN,not for review,
CP03ISSM-SBD11-02-HYDGN0000,HYDGN,not for review,
CE07SHSM-SBD11-02-HYDGN0000,HYDGN,not for review,
GS01SUMO-SBD11-03-HYDGN0000,HYDGN,not for review,
CP03ISSM-SBD12-03-HYDGN0000,HYDGN,not for review,
GI01SUMO-SBD11-03-HYDGN0000,HYDGN,not for review,
CP04OSSM-SBD11-02-HYDGN0000,HYDGN,not for review,
CP04OSSM-SBD12-03-HYDGN0000,HYDGN,not for review,
GA01SUMO-SBD11-03-HYDGN0000,HYDGN,not for review,
GS01SUMO-SBD12-03-HYDGN0000,HYDGN,not for review,
CE09OSSM-SBD12-03-HYDGN0000,HYDGN,not for review,
CE04OSSM-SBD12-03-HYDGN0000,HYDGN,not for review,
CE02SHSM-SBD11-02-HYDGN0000,HYDGN,not for review,
GI01SUMO-SBD12-03-HYDGN0000,HYDGN,not for review,
RS03CCAL-MJ03F-06-HYDLFA305,HYDLF,not for review,
RS01SLBS-MJ01A-05-HYDLFA101,HYDLF,not for review,
RS01SUM1-LJ01B-05-HYDLFA104,HYDLF,not for review,
RS03AXBS-MJ03A-05-HYDLFA301,HYDLF,not for review,
RS03ECAL-MJ03E-09-HYDLFA304,HYDLF,not for review,
RS03INT1-MJ03C-06-MASSPA301,MASSP,not for review,
RS01SUM2-MJ01B-06-MASSPA101,MASSP,not for review,
CP04OSPM-SBS11-02-MOPAK0000,MOPAK,not for review,
CE02SHSM-SBD11-01-MOPAK0000,MOPAK,not for review,
GA01SUMO-SBD11-01-MOPAK0000,MOPAK,not for review,
CE09OSSM-SBD11-01-MOPAK0000,MOPAK,not for review,
CP04OSSM-SBD11-01-MOPAK0000,MOPAK,not for review,
CP03ISSM-SBD11-01-MOPAK0000,MOPAK,not for review,
CP02PMCI-SBS01-01-MOPAK0000,MOPAK,not for review,
CP01CNSM-SBD11-01-MOPAK0000,MOPAK,not for review,
CP02PMCO-SBS01-01-MOPAK0000,MOPAK,not for review,
CE06ISSM-SBD17-01-MOPAK0000,MOPAK,not for review,
CP01CNPM-SBS01-01-MOPAK0000,MOPAK,not for review,
GI01SUMO-SBD11-01-MOPAK0000,MOPAK,not for review,
CE07SHSM-SBD11-01-MOPAK0000,MOPAK,not for review,
GS01SUMO-SBD11-01-MOPAK0000,MOPAK,not for review,
CP02PMUO-SBS01-01-MOPAK0000,MOPAK,not for review,
CP02PMUI-SBS01-01-MOPAK0000,MOPAK,not for review,
CP03ISPM-SBS01-01-MOPAK0000,MOPAK,not for review,
CE04OSSM-SBD11-01-MOPAK0000,MOPAK,not for review,
CE01ISSM-SBD17-01-MOPAK0000,MOPAK,not for review,
GI05MOAS-PG564-05-NUTNRM000,NUTNR,glider leaked,
CP03ISSP-SP001-03-NUTNRJ000,NUTNR,missing  from raw data server,Redmine 12790
GP05MOAS-PG576-05-NUTNRM000,NUTNR,failed deployment,
GP05MOAS-PG515-05-NUTNRM000,NUTNR,not deployed,
GI05MOAS-PG577-05-NUTNRM000,NUTNR,glider leaked,
GI05MOAS-PG581-05-NUTNRM000,NUTNR,glider leaked,
RS03AXBS-MJ03A-05-OBSBBA303,OBSBB,not for review,
RS01SLBS-MJ01A-05-OBSBBA102,OBSBB,not for review,
RS03ECAL-MJ03E-09-OBSBBA302,OBSBB,not for review,
RS03CCAL-MJ03F-06-OBSBBA301,OBSBB,not for review,
RS01SUM1-LJ01B-05-OBSBBA101,OBSBB,not for review,
RS03ECAL-MJ03E-05-OBSSPA303,OBSSP,not for review,
RS01SUM1-LJ01B-08-OBSSPA101,OBSSP,not for review,
RS03ASHS-MJ03B-05-OBSSPA302,OBSSP,not for review,
RS03ASHS-MJ03B-06-OBSSPA301,OBSSP,not for review,
RS01SUM1-LJ01B-06-OBSSPA103,OBSSP,not for review,
RS03INT2-MJ03D-05-OBSSPA305,OBSSP,not for review,
RS03ECAL-MJ03E-08-OBSSPA304,OBSSP,not for review,
RS01SUM1-LJ01B-07-OBSSPA102,OBSSP,not for review,
RS01SBPD-DP01A-05-OPTAAC102,OPTAA,missing  from raw data server,redmine 10335
RS03AXPD-DP03A-05-OPTAAC302,OPTAA,removed,never deployed
CP03ISSP-SP001-02-OPTAAJ000,OPTAA,missing  from raw data server,Redmine 12790
RS03ASHS-MJ03B-00-OSMOIA301,OSMOI,not for review,
RS01SUM2-MJ01B-00-OSMOIA101,OSMOI,not for review,
GI05MOAS-PG577-06-PARADM000,PARAD,glider leaked,
GP05MOAS-PG514-06-PARADM000,PARAD,not deployed,
GI05MOAS-PG581-06-PARADM000,PARAD,glider leaked,
GI05MOAS-PG564-06-PARADM000,PARAD,glider leaked,
GP05MOAS-PG576-06-PARADM000,PARAD,failed deployment,
RS03INT1-MJ03C-07-PPSDNA301,PPSDN,not for review,
RS03INT1-MJ03C-07-RASFLA301,RASFL,not for review,
GI03FLMB-RIS01-00-SIOENG000,SIOEN,not for review,
GP03FLMB-RIS01-00-SIOENG000,SIOEN,not for review,
GP03FLMA-RIS01-00-SIOENG000,SIOEN,not for review,
GS03FLMA-RIS01-00-SIOENG000,SIOEN,not for review,
GS03FLMB-RIS01-00-SIOENG000,SIOEN,not for review,
GA03FLMA-RIM01-00-SIOENG000,SIOEN,not for review,
GS03FLMA-RIM01-00-SIOENG000,SIOEN,not for review,
GI03FLMA-RIM01-00-SIOENG000,SIOEN,not for review,
GI03FLMA-RIS01-00-SIOENG000,SIOEN,not for review,
GA02HYPM-RIM01-00-SIOENG000,SIOEN,not for review,
GA03FLMB-RIS01-00-SIOENG000,SIOEN,not for review,
GP03FLMB-RIM01-00-SIOENG000,SIOEN,not for review,
GS03FLMB-RIM01-00-SIOENG000,SIOEN,not for review,
GP02HYPM-RIM01-00-SIOENG000,SIOEN,not for review,
GI03FLMB-RIM01-00-SIOENG000,SIOEN,not for review,
GS02HYPM-RIM01-00-SIOENG000,SIOEN,not for review,
GI02HYPM-RIM01-00-SIOENG000,SIOEN,not for review,
GP03FLMA-RIM01-00-SIOENG000,SIOEN,not for review,
GA03FLMA-RIS01-00-SIOENG000,SIOEN,not for review,
GA03FLMB-RIM01-00-SIOENG000,SIOEN,not for review,
CP01CNSP-SP001-00-SPPENG000,SPPEN,not for review,
CP03ISSP-SP001-00-SPPENG000,SPPEN,not for review,
CE06ISSP-SP001-00-SPPENG000,SPPEN,not for review,
CE02SHSP-SP001-00-SPPENG000,SPPEN,not for review,
CE01ISSP-SP001-00-SPPENG000,SPPEN,not for review,
CE02SHSP-SP002-00-SPPENG000,SPPEN,not for review,
CE07SHSP-SP001-00-SPPENG000,SPPEN,not for review,
CP01CNPM-SBS01-00-STCENG000,STCEN,not for review,
CP02PMUO-SBS01-00-STCENG000,STCEN,not for review,
CP03ISPM-SBS01-00-STCENG000,STCEN,not for review,
CE09OSPM-SBS01-00-STCENG000,STCEN,not for review,
CP02PMCO-SBS01-00-STCENG000,STCEN,not for review,
CP04OSPM-SBS01-00-STCENG000,STCEN,not for review,
CP02PMCI-SBS01-00-STCENG000,STCEN,not for review,
CP02PMUI-SBS01-00-STCENG000,STCEN,not for review,
GA02HYPM-WFP03-00-WFPENG000,WFPEN,not for review,
GI02HYPM-WFP02-00-WFPENG000,WFPEN,not for review,
CP02PMCO-WFP01-00-WFPENG000,WFPEN,not for review,
GP02HYPM-WFP02-00-WFPENG000,WFPEN,not for review,
CP02PMCI-WFP01-00-WFPENG000,WFPEN,not for review,
CP03ISPM-WFP01-00-WFPENG000,WFPEN,not for review,
CP04OSPM-WFP01-00-WFPENG000,WFPEN,not for review,
CP01CNPM-WFP01-00-WFPENG000,WFPEN,not for review,
GS02HYPM-WFP03-00-WFPENG000,WFPEN,not for review,
GA02HYPM-WFP02-00-WFPENG000,WFPEN,not for review,
CP02PMUO-WFP01-00-WFPENG000,WFPEN,not for review,
CE09OSPM-WFP01-00-WFPENG000,WFPEN,not for review,
GS02HYPM-WFP02-00-WFPENG000,WFPEN,not for review,
GP02HYPM-WFP03-00-WFPENG000,WFPEN,not for review,
CP02PMUI-WFP01-00-WFPENG000,WFPEN,not for review,
CE04OSPS-PC01B-05-ZPLSCB102,ZPLSC,no science streams in system,
GS02HYPM-MPM01-02-ZPLSGA009,ZPLSG,pending ingest,parser missing
GA02HYPM-MPM01-02-ZPLSGA009,ZPLSG,pending ingest,parser missing
GS02HYPM-MPM01-02-ZPLSGA010,ZPLSG,pending ingest,parser missing
GI02HYPM-MPM01-02-ZPLSGA010,ZPLSG,pending ingest,parser missing
GP02HYPM-MPM01-02-ZPLSGA009,ZPLSG,pending ingest,parser missing
GA02HYPM-MPM01-02-ZPLSGA010,ZPLSG,pending ingest,parser missing
GP02HYPM-MPM01-02-ZPLSGA010,ZPLSG,pending ingest,parser missing
GI02HYPM-MPM01-02-ZPLSGA009,ZPLSG,pending ingest,parser missing
