refdes,methods,streams-uFrame,database,uFrame,comment
CE05MOAS-GL383-03-ADCPAM000,recovered_host,adcp_velocity_glider, yes,yes,
CE05MOAS-GL383-03-ADCPAM000,recovered_host,adcp_bottom_track_earth, yes,yes,
CE05MOAS-GL383-04-DOSTAM000,recovered_host,dosta_abcdjm_glider_recovered, yes,yes,
CE05MOAS-GL383-05-CTDGVM000,recovered_host,ctdgv_m_glider_instrument_recovered, yes,yes,
CE05MOAS-GL384-01-PARADM000,recovered_host,parad_m_glider_recovered, yes,yes,
CE05MOAS-GL384-02-FLORTM000,recovered_host,flort_m_sample, yes,yes,
CE05MOAS-GL384-03-ADCPAM000,recovered_host,adcp_velocity_glider, yes,yes,
CE05MOAS-GL384-03-ADCPAM000,recovered_host,adcp_bottom_track_earth, yes,yes,
CE05MOAS-GL384-04-DOSTAM000,recovered_host,dosta_abcdjm_glider_recovered, yes,yes,
CE05MOAS-GL384-05-CTDGVM000,recovered_host,ctdgv_m_glider_instrument_recovered, yes,yes,
CE05MOAS-GL386-01-PARADM000,recovered_host,parad_m_glider_recovered, yes,yes,
CE05MOAS-GL386-02-FLORTM000,recovered_host,flort_m_sample, yes,yes,
CE05MOAS-GL386-03-ADCPAM000,recovered_host,adcp_velocity_glider, yes,yes,
CE05MOAS-GL386-03-ADCPAM000,recovered_host,adcp_bottom_track_earth, yes,yes,
CE05MOAS-GL386-04-DOSTAM000,recovered_host,dosta_abcdjm_glider_recovered, yes,yes,
CE05MOAS-GL386-05-CTDGVM000,recovered_host,ctdgv_m_glider_instrument_recovered, yes,yes,
CE06ISSM-MFD35-01-VEL3DD000,recovered_inst,vel3d_cd_dcl_velocity_data_recovered, yes,yes,
CE06ISSM-MFD35-02-PRESFA000,recovered_inst,presf_abc_wave_burst_recovered, yes,yes,
CE06ISSM-MFD35-02-PRESFA000,recovered_inst,presf_abc_tide_measurement_recovered, yes,yes,
CE06ISSM-MFD35-04-ADCPTM000,recovered_inst,adcp_velocity_earth, yes,yes,
CE06ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_wvs_recovered, yes,yes,
CE06ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_instrument_log9_recovered, yes,yes,
CE06ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_instrument_dspec_recovered, yes,yes,
CE06ISSM-MFD35-05-PCO2WB000,recovered_inst,pco2w_abc_instrument, yes,yes,
CE06ISSM-MFD35-05-PCO2WB000,recovered_inst,pco2w_abc_instrument_blank, yes,yes,
CE06ISSM-MFD35-06-PHSEND000,recovered_inst,phsen_abcdef_instrument, yes,yes,
CE06ISSM-MFD37-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered, yes,yes,
CE06ISSM-MFD37-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered, yes,yes,
CE06ISSM-MFD37-03-DOSTAD000,recovered_inst,dosta_abcdjm_ctdbp_instrument_recovered, yes,yes,
CE06ISSM-MFD37-07-ZPLSCC000,recovered_inst,zplsc_echogram_data, yes,yes,
CE06ISSM-RID16-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered, yes,yes,
CE06ISSM-RID16-02-FLORTD000,recovered_host,flort_sample, yes,yes,
